date,open,high,low,close,volume,cap
2022-06-06,29919.20000000,31765.64000000,29890.23000000,31373.10000000,68836.92456000,68836.92456000
2022-06-07,31373.10000000,31589.60000000,29218.96000000,31125.33000000,110674.51658000,110674.51658000
2022-06-08,31125.32000000,31327.22000000,29843.88000000,30204.77000000,68542.61276000,68542.61276000
2022-06-09,30204.77000000,30700.00000000,29944.10000000,30109.93000000,46291.18650000,46291.18650000
2022-06-10,30109.93000000,30382.80000000,28850.00000000,29091.88000000,76204.24980000,76204.24980000
2022-06-11,29091.87000000,29440.41000000,28099.99000000,28424.70000000,65901.39895000,65901.39895000
2022-06-12,28424.71000000,28544.96000000,26560.00000000,26574.53000000,92474.59880900,92474.59880900
2022-06-13,26574.53000000,26895.84000000,21925.77000000,22487.41000000,254611.03496600,254611.03496600
2022-06-14,22485.27000000,23362.88000000,20846.00000000,22136.41000000,187201.64671000,187201.64671000
2022-06-15,22136.42000000,22800.00000000,20111.62000000,22583.72000000,200774.49346700,200774.49346700
2022-06-16,22583.72000000,22995.73000000,20232.00000000,20401.31000000,99673.59429000,99673.59429000
2022-06-17,20400.60000000,21365.43000000,20246.66000000,20468.81000000,86694.33663000,86694.33663000
2022-06-18,20468.81000000,20792.06000000,17622.00000000,18970.79000000,196441.65552400,196441.65552400
2022-06-19,18970.79000000,20815.95000000,17960.41000000,20574.00000000,128320.87595000,128320.87595000
2022-06-20,20574.00000000,21090.00000000,19637.03000000,20573.89000000,109028.94154000,109028.94154000
2022-06-21,20573.90000000,21723.00000000,20348.40000000,20723.52000000,104371.07490000,104371.07490000
2022-06-22,20723.51000000,20900.00000000,19770.51000000,19987.99000000,92133.97938000,92133.97938000
2022-06-23,19988.00000000,21233.00000000,19890.07000000,21110.13000000,83127.08716000,83127.08716000
2022-06-24,21110.12000000,21558.41000000,20736.72000000,21237.69000000,77430.36622000,77430.36622000
2022-06-25,21237.68000000,21614.50000000,20906.62000000,21491.19000000,51431.67794000,51431.67794000
2022-06-26,21491.18000000,21888.00000000,20964.73000000,21038.07000000,53278.10464000,53278.10464000
2022-06-27,21038.08000000,21539.85000000,20510.00000000,20742.56000000,64475.00130000,64475.00130000
2022-06-28,20742.57000000,21212.10000000,20202.01000000,20281.29000000,63801.08320000,63801.08320000
2022-06-29,20281.28000000,20432.31000000,19854.92000000,20123.01000000,77309.04379000,77309.04379000
2022-06-30,20123.00000000,20179.08000000,18626.00000000,19942.21000000,93846.64806000,93846.64806000
2022-07-01,19942.21000000,20918.35000000,18975.00000000,19279.80000000,111844.59494000,111844.59494000
2022-07-02,19279.80000000,19467.39000000,18977.01000000,19252.81000000,46180.30210000,46180.30210000
2022-07-03,19252.82000000,19647.63000000,18781.00000000,19315.83000000,51087.46631000,51087.46631000
